,Date,bt_Close**,bt_Volume,bt_Supply,bt_close_off_high,bt_volatility,bt_High,bt_Low
1645,2014-05-20,485.72,40327500,12795255.371407395,-0.7481840193704614,0.10179251624467849,491.44,446.01
1644,2014-05-21,491.77,14626000,12799524.999491632,-0.5220588235294075,0.022396047756278292,494.37,483.49
1643,2014-05-22,524.58,33086500,12803775.591902092,-0.95564401478533,0.07147647596788947,525.36,490.19
1642,2014-05-23,520.22,34934700,12807974.239744723,0.9872029250457051,0.041619112835730034,541.96,520.08
1641,2014-05-24,525.14,11499300,12811751.205392849,-0.9932508436445505,0.017061702331829933,525.17,516.28
1640,2014-05-25,571.59,47010300,12815780.157105617,-0.8091707317073176,0.09757629990670753,576.48,525.23
1639,2014-05-26,583.42,29959800,12819812.89294162,-0.5689505637467442,0.04035772414637979,588.39,565.33
1638,2014-05-27,571.24,38032000,12823239.792381486,0.04189227700199227,0.060231037264628695,589.52,554.43
1637,2014-05-28,577.06,19289000,12827444.458115276,-0.7852718513420424,0.025406095364655233,578.62,564.09
1636,2014-05-29,568.18,18707800,12830900.000000002,0.15096774193549334,0.026894314021480747,577.1,561.6
1635,2014-05-30,615.33,31985400,12834995.70636894,-0.8755467196819089,0.08852828329050666,618.46,568.16
1634,2014-05-31,623.68,15107100,12838713.243971268,-0.8972839506172763,0.03288992837304487,624.72,604.47
1633,2014-06-01,630.23,45259100,12843129.62093204,0.5999999999999983,0.08273340922573717,671.51,619.91
1632,2014-06-02,660.62,45450200,12847911.10320608,-0.7912745936698033,0.07426347971095051,665.5,618.74
1631,2014-06-03,667.6,40653700,12852471.258238466,-0.4419202743249053,0.0353190523048975,674.11,650.78
1630,2014-06-04,641.61,37731500,12857005.154221412,0.21205306948504532,0.06669466232733913,668.56,624.09
1629,2014-06-05,659.26,29621300,12860710.985043837,-0.6356655290102395,0.03656386978021112,663.53,640.09
1628,2014-06-06,653.7,18680100,12864239.35750344,0.6912899669239068,0.013757432350442984,661.37,652.3
1627,2014-06-07,654.97,15855300,12868080.353298623,-0.6724854530340794,0.01840800587587233,656.94,644.91
1626,2014-06-08,656.14,8614190,12871475.000762032,0.012939001848438103,0.008259668086535624,658.88,653.47
1625,2014-06-09,649.16,19065400,12875330.166676937,0.2832456799399008,0.020300774815447592,657.7,644.39
1624,2014-06-10,653.15,17913400,12879574.99961724,-0.00996168582375434,0.020075687649990875,659.61,646.56
1623,2014-06-11,633.02,25163800,12883175.000789864,0.9616169865251101,0.03749291936496273,657.04,632.55
1622,2014-06-12,586.95,50818800,12887543.91345089,0.578038247995063,0.10236332349273011,638.11,573.27
1621,2014-06-13,600.16,35700700,12891639.441149028,0.017663043478264084,0.05026464060099017,615.14,585.7
1620,2014-06-14,577.36,38481200,12895930.32769849,-0.07055393586005831,0.08564294631710351,601.27,549.82
1619,2014-06-15,592.94,23580900,12900734.728640333,-1.0,0.06606705676037031,592.94,554.89
1618,2014-06-16,592.19,28677500,12905456.414326482,0.5270207852193987,0.036530836075255174,608.72,587.07
1617,2014-06-17,610.86,18597300,12910159.537373539,-0.9970717423133262,0.0346354738923917,610.89,590.4
1616,2014-06-18,607.96,17862000,12914007.516941903,0.3797909407665412,0.01882677074962694,615.88,604.4
1615,2014-06-19,598.07,12803800,12918221.599478321,0.8620236530880334,0.025030012991925314,612.24,597.02
1614,2014-06-20,594.15,18134100,12922787.999663385,-0.0658882402001637,0.02007030465349851,599.75,587.76
1613,2014-06-21,594.99,9256290,12927568.454932015,-0.2372013651877104,0.019741274760813953,599.46,587.74
1612,2014-06-22,602.27,10877700,12932089.416706793,-0.34388742304309294,0.019080382614532647,606.0,594.63
1611,2014-06-23,593.98,14053800,12936512.11656958,0.09425014819205879,0.028015809751561056,603.21,586.34
